ROI number, volume, center of mass,Dosenbach,AAL,Eickhoff-Zilles,Talairach-Tournoux,Harvard-Oxford
151, 91, (16.0;-93.5;16.9),["None": 1.00],["Cuneus_R": 0.55]["Occipital_Sup_R": 0.31]["Calcarine_R": 0.13],["Right Cuneus": 0.44]["Right Superior Occipital Gyrus": 0.31]["Right Calcarine Gyrus": 0.24],["Right Cuneus": 0.80]["Right Middle Occipital Gyrus": 0.20],["Right Occipital Pole": 0.96]
152, 95, (5.9;-25.8;-33.3),["None": 1.00],["None": 1.00],["None": 1.00],["None": 1.00],["None": 1.00]
153, 114, (34.5;29.5;42.1),["None": 0.99],["Frontal_Mid_R": 1.00],["Right Middle Frontal Gyrus": 1.00],["Right Middle Frontal Gyrus": 0.87],["Right Middle Frontal Gyrus": 0.92]
154, 121, (-21.1;33.9;44.9),["None": 0.98],["Frontal_Sup_L": 0.70]["Frontal_Mid_L": 0.30],["Left Superior Frontal Gyrus": 0.73]["Left Middle Frontal Gyrus": 0.27],["Left Superior Frontal Gyrus": 0.64]["Left Middle Frontal Gyrus": 0.36],["Left Superior Frontal Gyrus": 0.61]["Left Frontal Pole": 0.22]["Left Middle Frontal Gyrus": 0.17]
155, 99, (63.3;-41.5;-9.3),["None": 1.00],["Temporal_Mid_R": 0.67]["Temporal_Inf_R": 0.33],["Right Inferior Temporal Gyrus": 0.80]["Right Middle Temporal Gyrus": 0.20],["Right Middle Temporal Gyrus": 0.80]["Right Inferior Temporal Gyrus": 0.19],["Right Middle Temporal Gyrus; temporooccipital part": 0.61]["Right Inferior Temporal Gyrus; temporooccipital part": 0.20]["Right Middle Temporal Gyrus; posterior division": 0.17]
156, 94, (-4.9;14.0;42.2),["None": 0.84]["mFC": 0.15],["Cingulum_Mid_L": 0.56]["Supp_Motor_Area_L": 0.33],["Left Middle Cingulate Cortex": 0.67]["Left SMA": 0.16]["Left Superior Medial Gyrus": 0.15],["Left Cingulate Gyrus": 0.65]["Left Medial Frontal Gyrus": 0.17]["Left Superior Frontal Gyrus": 0.13],["Left Paracingulate Gyrus": 0.44]["Left Cingulate Gyrus; anterior division": 0.34]["Right Paracingulate Gyrus": 0.13]
157, 122, (-62.6;-25.1;2.8),["None": 0.98],["Temporal_Mid_L": 0.70]["Temporal_Sup_L": 0.30],["Left Middle Temporal Gyrus": 0.84]["Left Superior Temporal Gyrus": 0.16],["Left Superior Temporal Gyrus": 0.59]["Left Middle Temporal Gyrus": 0.41],["Left Superior Temporal Gyrus; posterior division": 0.75]["Left Planum Temporale": 0.14]["Left Middle Temporal Gyrus; posterior division": 0.11]
158, 125, (-6.2;46.1;14.9),["None": 0.90],["Cingulum_Ant_L": 0.54]["Frontal_Sup_Medial_L": 0.46],["Left Anterior Cingulate Cortex": 0.54]["Left Superior Medial Gyrus": 0.46],["Left Medial Frontal Gyrus": 0.78]["Left Anterior Cingulate": 0.22],["Left Paracingulate Gyrus": 0.70]["Left Cingulate Gyrus; anterior division": 0.16]
159, 110, (46.6;-4.2;51.1),["None": 1.00],["Precentral_R": 0.70]["Frontal_Mid_R": 0.30],["RightPrecentral Gyrus": 0.89]["Right Middle Frontal Gyrus": 0.11],["Right Precentral Gyrus": 0.74]["Right Middle Frontal Gyrus": 0.26],["Right Precentral Gyrus": 0.95]
160, 93, (-35.3;52.1;8.3),["None": 0.83]["aPFC": 0.11],["Frontal_Mid_L": 0.91],["Left Middle Frontal Gyrus": 0.76]["Left Middle Orbital Gyrus": 0.20],["Left Middle Frontal Gyrus": 0.91],["Left Frontal Pole": 1.00]
161, 104, (-38.4;-15.3;15.6),["None": 0.83]["mid insula": 0.17],["Insula_L": 0.52]["Rolandic_Oper_L": 0.46],["Left Rolandic Operculum": 0.41]["Left Insula Lobe": 0.38]["Left Heschls Gyrus": 0.21],["Left Insula": 0.90],["Left Central Opercular Cortex": 0.52]["Left Insular Cortex": 0.44]
162, 120, (42.6;2.0;6.7),["None": 0.88]["vFC": 0.12],["Insula_R": 0.75]["Rolandic_Oper_R": 0.13],["Right Insula Lobe": 0.78]["Right Inferior Frontal Gyrus (p. Opercularis)": 0.12],["Right Insula": 0.82]["Right Precentral Gyrus": 0.11],["Right Central Opercular Cortex": 0.51]["Right Insular Cortex": 0.46]
163, 170, (11.6;-76.7;8.5),["None": 0.89],["Calcarine_R": 0.69]["Lingual_R": 0.25],["Right Calcarine Gyrus": 0.51]["Right Lingual Gyrus": 0.37],["Right Cuneus": 0.55]["Right Lingual Gyrus": 0.45],["Right Intracalcarine Cortex": 0.69]["Right Lingual Gyrus": 0.25]
164, 152, (-42.2;-65.6;44.6),["None": 0.89],["Angular_L": 0.79]["Parietal_Inf_L": 0.16],["Left Angular Gyrus": 0.81],["Left Inferior Parietal Lobule": 0.45]["Left Precuneus": 0.19]["Left Superior Parietal Lobule": 0.14]["Left Angular Gyrus": 0.13],["Left Lateral Occipital Cortex; superior division": 0.94]
165, 114, (60.6;0.7;16.5),["None": 0.84]["precentral gyrus": 0.15],["Rolandic_Oper_R": 0.61]["Precentral_R": 0.23]["Postcentral_R": 0.16],["Right Rolandic Operculum": 0.77]["RightPrecentral Gyrus": 0.15],["Right Precentral Gyrus": 0.83]["Right Inferior Frontal Gyrus": 0.17],["Right Precentral Gyrus": 0.64]["Right Central Opercular Cortex": 0.24]["Right Postcentral Gyrus": 0.12]
166, 61, (39.7;-15.7;-24.0),["None": 1.00],["Fusiform_R": 0.41]["Hippocampus_R": 0.21]["Temporal_Inf_R": 0.20]["ParaHippocampal_R": 0.18],["Right Fusiform Gyrus": 0.64]["Right Inferior Temporal Gyrus": 0.15]["Right ParaHippocampal Gyrus": 0.13],["Right Fusiform Gyrus": 0.33]["Right Parahippocampal Gyrus": 0.33]["Right Inferior Temporal Gyrus": 0.21]["Right Uncus": 0.13],["Right Temporal Fusiform Cortex; posterior division": 0.67]["Right Hippocampus": 0.16]["Right Inferior Temporal Gyrus; posterior division": 0.15]
167, 86, (-21.0;6.2;64.1),["None": 1.00],["Frontal_Sup_L": 0.70]["Frontal_Mid_L": 0.27],["Left Superior Frontal Gyrus": 0.67]["Left Middle Frontal Gyrus": 0.33],["Left Middle Frontal Gyrus": 0.60]["Left Superior Frontal Gyrus": 0.40],["Left Superior Frontal Gyrus": 0.88]["Left Middle Frontal Gyrus": 0.12]
168, 100, (-12.6;17.0;-6.0),["None": 1.00],["Caudate_L": 0.42]["Putamen_L": 0.30]["Rectus_L": 0.22],["Left Caudate Nucleus": 0.32]["Left Rectal Gyrus": 0.30]["Left Putamen": 0.18]["Left Superior Orbital Gyrus": 0.12],["Left Subcallosal Gyrus": 0.39]["Left Caudate": 0.20]["Left Lentiform Nucleus": 0.19]["Left Anterior Cingulate": 0.16],["Left Subcallosal Cortex": 0.26]["Left Caudate": 0.25]["Left Putamen": 0.23]["Left Accumbens": 0.18]
169, 132, (43.5;-76.0;-10.0),["None": 0.99],["Occipital_Inf_R": 0.85],["Right Inferior Occipital Gyrus": 0.70]["Right Fusiform Gyrus": 0.13]["Right Cerebellum": 0.11],["Right Fusiform Gyrus": 0.36]["Right Middle Occipital Gyrus": 0.23]["Right Inferior Occipital Gyrus": 0.21]["Right Declive": 0.16],["Right Lateral Occipital Cortex; inferior division": 0.86]["Right Occipital Fusiform Gyrus": 0.11]
170, 108, (13.1;13.7;-7.8),["None": 1.00],["Caudate_R": 0.37]["Olfactory_R": 0.26]["Rectus_R": 0.20]["Putamen_R": 0.13],["Right Rectal Gyrus": 0.38]["Right Olfactory cortex": 0.34]["Right Caudate Nucleus": 0.15],["Right Subcallosal Gyrus": 0.55]["Right Lentiform Nucleus": 0.17]["Right Anterior Cingulate": 0.16],["Right Putamen": 0.33]["Right Accumbens": 0.26]["Right Subcallosal Cortex": 0.26]["Right Frontal Orbital Cortex": 0.13]
171, 154, (-8.4;-37.6;70.7),["None": 1.00],["Paracentral_Lobule_L": 0.56]["Precuneus_L": 0.37],["Left Precuneus": 0.54]["Left Paracentral Lobule": 0.42],["None": 0.53]["Left Postcentral Gyrus": 0.25]["Left Paracentral Lobule": 0.20],["Left Postcentral Gyrus": 0.71]["Left Precentral Gyrus": 0.27]
172, 84, (39.4;54.8;-5.4),["None": 0.92],["Frontal_Mid_Orb_R": 0.81]["Frontal_Mid_R": 0.19],["Right Middle Orbital Gyrus": 1.00],["Right Middle Frontal Gyrus": 0.86],["Right Frontal Pole": 1.00]
173, 127, (-43.1;-75.9;-9.0),["None": 0.98],["Occipital_Inf_L": 0.89],["Left Inferior Occipital Gyrus": 0.80]["Left Fusiform Gyrus": 0.13],["Left Fusiform Gyrus": 0.33]["Left Middle Occipital Gyrus": 0.29]["Left Inferior Occipital Gyrus": 0.21]["Left Declive": 0.17],["Left Lateral Occipital Cortex; inferior division": 0.88]["Left Occipital Fusiform Gyrus": 0.12]
174, 108, (21.1;-4.0;66.4),["None": 1.00],["Frontal_Sup_R": 0.81]["Supp_Motor_Area_R": 0.19],["Right Superior Frontal Gyrus": 0.87]["Right SMA": 0.13],["Right Superior Frontal Gyrus": 0.52]["Right Middle Frontal Gyrus": 0.32]["None": 0.14],["Right Superior Frontal Gyrus": 0.92]
175, 142, (-30.0;-56.2;-28.9),["None": 0.63],["Cerebelum_6_L": 0.75]["Cerebelum_Crus1_L": 0.24],["Left Cerebellum": 0.54]["Left Cerebellum": 0.42],["Left Cerebellar Tonsil": 0.51]["Left Culmen": 0.30],["None": 0.89]["Left Temporal Occipital Fusiform Cortex": 0.11]
176, 168, (-7.0;-95.3;1.3),["None": 0.98],["Calcarine_L": 0.79]["Occipital_Sup_L": 0.11],["Left Calcarine Gyrus": 0.68],["Left Lingual Gyrus": 0.50]["Left Cuneus": 0.42],["Left Occipital Pole": 0.70]["Left Intracalcarine Cortex": 0.17]
177, 117, (-7.9;-53.6;7.1),["None": 0.94],["Calcarine_L": 0.35]["Precuneus_L": 0.28]["Lingual_L": 0.26],["Left Lingual Gyrus": 0.44]["Left Calcarine Gyrus": 0.35],["Left Posterior Cingulate": 0.45]["Left Culmen": 0.31]["Left Lingual Gyrus": 0.16],["Left Precuneous Cortex": 0.44]["Left Lingual Gyrus": 0.27]["Left Cingulate Gyrus; posterior division": 0.26]
178, 121, (-6.5;44.6;45.0),["None": 1.00],["Frontal_Sup_Medial_L": 0.83]["Frontal_Sup_L": 0.17],["Left Superior Medial Gyrus": 0.83]["Left Superior Frontal Gyrus": 0.17],["Left Superior Frontal Gyrus": 0.66]["Left Medial Frontal Gyrus": 0.26],["Left Frontal Pole": 0.56]["Left Superior Frontal Gyrus": 0.31]["Right Superior Frontal Gyrus": 0.12]
179, 95, (41.4;-48.0;-33.4),["None": 1.00],["Cerebelum_Crus1_R": 0.64]["Cerebelum_6_R": 0.22]["Cerebelum_Crus2_R": 0.12],["Right Cerebellum": 0.49]["Right Cerebellum": 0.32],["Right Cerebellar Tonsil": 0.85]["Right Culmen": 0.15],["None": 0.92]
180, 130, (11.1;-49.5;4.6),["None": 1.00],["Lingual_R": 0.55]["Precuneus_R": 0.17]["Vermis_4_5": 0.16],["Right Lingual Gyrus": 0.53]["Cerebellar Vermis": 0.28],["Right Culmen": 0.30]["Right Posterior Cingulate": 0.29]["Right Lingual Gyrus": 0.21]["Right Parahippocampal Gyrus": 0.19],["Right Lingual Gyrus": 0.38]["Right Cingulate Gyrus; posterior division": 0.32]["Right Precuneous Cortex": 0.28]
181, 146, (-26.3;-60.5;57.1),["None": 1.00],["Parietal_Sup_L": 0.86]["Parietal_Inf_L": 0.14],["Left Superior Parietal Lobule ": 0.76]["Left Inferior Parietal Lobule ": 0.23],["Left Superior Parietal Lobule": 0.73]["Left Precuneus": 0.14]["None": 0.13],["Left Lateral Occipital Cortex; superior division": 0.66]["Left Superior Parietal Lobule": 0.34]
182, 84, (-30.4;1.8;-39.0),["None": 1.00],["Temporal_Inf_L": 0.32]["Fusiform_L": 0.29]["Temporal_Pole_Mid_L": 0.25],["Left Medial Temporal Pole": 0.43]["Left Inferior Temporal Gyrus": 0.26]["None": 0.21],["Left Superior Temporal Gyrus": 0.27]["Left Middle Temporal Gyrus": 0.24]["None": 0.21]["Left Uncus": 0.20],["Left Temporal Pole": 0.52]["Left Temporal Fusiform Cortex; anterior division": 0.35]["Left Parahippocampal Gyrus; anterior division": 0.13]
183, 116, (28.8;-87.0;22.8),["None": 0.95],["Occipital_Mid_R": 0.53]["Occipital_Sup_R": 0.47],["Right Middle Occipital Gyrus": 0.65]["Right Superior Occipital Gyrus": 0.35],["Right Cuneus": 0.43]["Right Middle Occipital Gyrus": 0.42]["Right Superior Occipital Gyrus": 0.11],["Right Lateral Occipital Cortex; superior division": 0.84]["Right Occipital Pole": 0.16]
184, 114, (-1.1;19.2;28.6),["None": 0.83]["basal ganglia": 0.16],["Cingulum_Ant_L": 0.39]["Cingulum_Ant_R": 0.32]["Cingulum_Mid_L": 0.27],["Left Anterior Cingulate Cortex": 0.56]["Right Anterior Cingulate Cortex": 0.32]["Left Middle Cingulate Cortex": 0.11],["Left Cingulate Gyrus": 0.40]["Left Anterior Cingulate": 0.25]["Right Anterior Cingulate": 0.24]["Right Cingulate Gyrus": 0.11],["Right Cingulate Gyrus; anterior division": 0.54]["Left Cingulate Gyrus; anterior division": 0.37]
185, 91, (1.3;-19.0;10.1),["None": 1.00],["Thalamus_L": 0.54]["Thalamus_R": 0.46],["Left Thalamus": 0.52]["Right Thalamus": 0.44],["Right Thalamus": 0.48]["Left Thalamus": 0.40]["None": 0.12],["Left Thalamus": 0.54]["Right Thalamus": 0.46]
186, 118, (-40.5;13.9;46.7),["None": 0.97],["Frontal_Mid_L": 0.80]["Precentral_L": 0.20],["Left Middle Frontal Gyrus": 0.81]["Left Precentral Gyrus": 0.15],["Left Middle Frontal Gyrus": 0.81]["Left Superior Frontal Gyrus": 0.17],["Left Middle Frontal Gyrus": 1.00]
187, 119, (-42.1;-14.2;56.0),["None": 0.71]["parietal": 0.15]["parietal": 0.11],["Precentral_L": 0.61]["Postcentral_L": 0.39],["Left Precentral Gyrus": 0.50]["Left Postcentral Gyrus": 0.50],["Left Precentral Gyrus": 0.70]["Left Postcentral Gyrus": 0.30],["Left Precentral Gyrus": 0.79]["Left Postcentral Gyrus": 0.21]
188, 101, (-27.6;-40.2;-17.6),["None": 0.77]["occipital": 0.14],["Fusiform_L": 0.80]["Cerebelum_4_5_L": 0.14],["Left Fusiform Gyrus": 0.73]["Left Cerebellum": 0.18],["Left Culmen": 0.78]["Left Fusiform Gyrus": 0.21],["Left Temporal Fusiform Cortex; posterior division": 0.66]["Left Parahippocampal Gyrus; posterior division": 0.21]
189, 112, (-46.8;-67.4;30.2),["None": 0.86]["angular gyrus": 0.11],["Angular_L": 0.92],["Left Angular Gyrus": 0.62]["Left Middle Temporal Gyrus": 0.21],["Left Middle Temporal Gyrus": 0.58]["Left Angular Gyrus": 0.37],["Left Lateral Occipital Cortex; superior division": 0.97]
190, 98, (20.6;64.3;9.9),["None": 1.00],["Frontal_Sup_R": 0.82]["Frontal_Sup_Medial_R": 0.18],["Right Superior Frontal Gyrus": 0.71]["Right Superior Orbital Gyrus": 0.18],["Right Superior Frontal Gyrus": 0.82]["Right Middle Frontal Gyrus": 0.12],["Right Frontal Pole": 1.00]
191, 90, (52.9;9.5;20.9),["None": 0.90],["Frontal_Inf_Oper_R": 0.72]["Frontal_Inf_Tri_R": 0.13],["Right Inferior Frontal Gyrus (p. Opercularis)": 0.77]["Right Inferior Frontal Gyrus (p. Triangularis)": 0.13],["Right Inferior Frontal Gyrus": 0.88]["Right Precentral Gyrus": 0.12],["Right Inferior Frontal Gyrus; pars opercularis": 0.60]["Right Precentral Gyrus": 0.39]
192, 107, (45.8;43.7;3.6),["None": 0.93],["Frontal_Mid_R": 0.51]["Frontal_Inf_Tri_R": 0.36]["Frontal_Inf_Orb_R": 0.13],["Right Inferior Frontal Gyrus (p. Orbitalis)": 0.42]["Right Middle Frontal Gyrus": 0.28]["Right Inferior Frontal Gyrus (p. Triangularis)": 0.18]["Right Middle Orbital Gyrus": 0.12],["Right Inferior Frontal Gyrus": 0.64]["Right Middle Frontal Gyrus": 0.36],["Right Frontal Pole": 1.00]
193, 145, (-2.3;-63.7;35.5),["None": 0.93],["Precuneus_L": 0.74]["Precuneus_R": 0.22],["Left Precuneus": 0.67]["Right Precuneus": 0.19]["Left Cuneus": 0.13],["Left Precuneus": 0.51]["Right Precuneus": 0.31],["Left Precuneous Cortex": 0.54]["Right Precuneous Cortex": 0.46]
194, 118, (51.2;-23.0;53.1),["None": 0.95],["Postcentral_R": 0.74]["Precentral_R": 0.19],["Right Postcentral Gyrus": 0.70]["Right SupraMarginal Gyrus": 0.14]["Right Inferior Parietal Lobule ": 0.11],["Right Postcentral Gyrus": 0.96],["Right Postcentral Gyrus": 0.84]["Right Supramarginal Gyrus; anterior division": 0.16]
195, 136, (15.2;-56.7;-20.8),["None": 0.91],["Cerebelum_6_R": 0.49]["Cerebelum_4_5_R": 0.40],["Right Cerebellum": 0.56]["Right Cerebellum": 0.20],["Right Culmen": 0.38]["Right Declive": 0.24]["Right Nodule": 0.22],["None": 0.96]
196, 98, (-0.0;-6.4;-10.3),["None": 1.00],["None": 0.93],["None": 0.88],["None": 0.86],["None": 0.96]
197, 91, (-52.5;-38.7;2.8),["None": 0.92],["Temporal_Mid_L": 0.98],["Left Middle Temporal Gyrus": 1.00],["Left Middle Temporal Gyrus": 0.85]["Left Superior Temporal Gyrus": 0.15],["Left Superior Temporal Gyrus; posterior division": 0.46]["Left Middle Temporal Gyrus; posterior division": 0.41]
198, 143, (-42.9;37.9;17.4),["None": 0.97],["Frontal_Inf_Tri_L": 0.64]["Frontal_Mid_L": 0.36],["Left Inferior Frontal Gyrus (p. Triangularis)": 0.71]["Left Middle Frontal Gyrus": 0.29],["Left Middle Frontal Gyrus": 0.70]["Left Inferior Frontal Gyrus": 0.30],["Left Frontal Pole": 0.62]["Left Inferior Frontal Gyrus; pars triangularis": 0.27]
199, 126, (58.0;-22.9;41.1),["None": 0.99],["Postcentral_R": 0.50]["SupraMarginal_R": 0.47],["Right SupraMarginal Gyrus": 0.61]["Right Postcentral Gyrus": 0.39],["Right Postcentral Gyrus": 0.75]["Right Precentral Gyrus": 0.15],["Right Supramarginal Gyrus; anterior division": 0.59]["Right Postcentral Gyrus": 0.41]
200, 141, (8.5;-39.3;45.0),["None": 0.83]["precuneus": 0.13],["Cingulum_Mid_R": 0.65]["Precuneus_R": 0.16]["Paracentral_Lobule_R": 0.12],["Right Middle Cingulate Cortex": 0.57]["Right Precuneus": 0.33],["Right Cingulate Gyrus": 0.39]["Right Precuneus": 0.29]["Right Paracentral Lobule": 0.29],["Right Cingulate Gyrus; posterior division": 0.54]["Right Precuneous Cortex": 0.40]
201, 69, (28.0;19.4;-17.7),["None": 1.00],["Frontal_Inf_Orb_R": 0.49]["Insula_R": 0.41],["Right Inferior Frontal Gyrus (p. Orbitalis)": 0.62]["Right Insula Lobe": 0.22]["Right Temporal Pole": 0.13],["Right Inferior Frontal Gyrus": 0.86]["Right Superior Temporal Gyrus": 0.13],["Right Frontal Orbital Cortex": 0.97]
202, 86, (-35.9;53.6;-6.2),["None": 0.98],["Frontal_Mid_Orb_L": 0.77]["Frontal_Mid_L": 0.14],["Left Middle Orbital Gyrus": 0.87],["Left Middle Frontal Gyrus": 0.73]["Left Superior Frontal Gyrus": 0.22],["Left Frontal Pole": 1.00]
203, 86, (-33.3;-28.4;-17.7),["None": 1.00],["Fusiform_L": 0.45]["Hippocampus_L": 0.20]["Temporal_Inf_L": 0.20]["ParaHippocampal_L": 0.15],["Left Fusiform Gyrus": 0.53]["Left Inferior Temporal Gyrus": 0.33],["Left Parahippocampal Gyrus": 0.65]["Left Culmen": 0.21]["Left Fusiform Gyrus": 0.14],["Left Temporal Fusiform Cortex; posterior division": 0.48]["Left Hippocampus": 0.30]["Left Parahippocampal Gyrus; posterior division": 0.17]
204, 108, (-22.9;-83.4;-30.4),["None": 0.86]["inf cerebellum": 0.14],["Cerebelum_Crus2_L": 0.52]["Cerebelum_Crus1_L": 0.48],["Left Cerebellum": 0.70]["Left Cerebellum": 0.30],["Left Pyramis": 0.41]["Left Inferior Semi-Lunar Lobule": 0.31]["Left Tuber": 0.15]["Left Uvula": 0.13],["None": 0.95]
205, 88, (50.7;11.5;-20.1),["None": 1.00],["Temporal_Pole_Sup_R": 0.58]["Temporal_Pole_Mid_R": 0.36],["Right Medial Temporal Pole": 0.55]["Right Temporal Pole": 0.42],["Right Superior Temporal Gyrus": 0.66]["Right Middle Temporal Gyrus": 0.34],["Right Temporal Pole": 0.94]
206, 103, (-56.8;-40.3;37.2),["None": 0.96],["SupraMarginal_L": 0.54]["Parietal_Inf_L": 0.46],["Left SupraMarginal Gyrus": 0.68]["Left Inferior Parietal Lobule ": 0.26],["Left Inferior Parietal Lobule": 0.60]["Left Supramarginal Gyrus": 0.40],["Left Supramarginal Gyrus; anterior division": 0.68]["Left Supramarginal Gyrus; posterior division": 0.25]
207, 128, (50.4;-55.2;46.1),["None": 0.91],["Parietal_Inf_R": 0.63]["Angular_R": 0.37],["Right Inferior Parietal Lobule ": 0.52]["Right Angular Gyrus": 0.48],["Right Inferior Parietal Lobule": 0.78],["Right Angular Gyrus": 0.75]["Right Lateral Occipital Cortex; superior division": 0.25]
208, 91, (21.7;-37.4;1.7),["None": 1.00],["Hippocampus_R": 0.44]["Precuneus_R": 0.27],["Right ParaHippocampal Gyrus": 0.31]["Right Lingual Gyrus": 0.27]["Right Hippocampus": 0.26]["Right Precuneus": 0.13],["Right Parahippocampal Gyrus": 0.74]["Right Thalamus": 0.16],["Right Hippocampus": 0.54]["Right Thalamus": 0.29]["Right Cingulate Gyrus; posterior division": 0.12]
209, 84, (64.0;-28.7;-9.0),["None": 1.00],["Temporal_Mid_R": 0.93],["Right Middle Temporal Gyrus": 0.65]["Right Inferior Temporal Gyrus": 0.35],["Right Middle Temporal Gyrus": 0.86]["Right Inferior Temporal Gyrus": 0.14],["Right Middle Temporal Gyrus; posterior division": 0.95]
210, 121, (-54.2;1.6;2.6),["None": 0.93],["Temporal_Sup_L": 0.44]["Rolandic_Oper_L": 0.30]["Temporal_Pole_Sup_L": 0.20],["Left Superior Temporal Gyrus": 0.40]["Left Temporal Pole": 0.31]["Left Rolandic Operculum": 0.18]["Left Inferior Frontal Gyrus (p. Opercularis)": 0.12],["Left Superior Temporal Gyrus": 0.86]["Left Precentral Gyrus": 0.11],["Left Precentral Gyrus": 0.31]["Left Central Opercular Cortex": 0.25]["Left Planum Polare": 0.24]
211, 156, (-9.8;-76.5;42.8),["None": 0.83]["occipital": 0.12],["Precuneus_L": 0.44]["Cuneus_L": 0.28]["Occipital_Sup_L": 0.17]["Parietal_Sup_L": 0.11],["Left Cuneus": 0.40]["Left Superior Occipital Gyrus": 0.24]["Left Precuneus": 0.24]["Left Superior Parietal Lobule ": 0.12],["Left Precuneus": 0.79]["Left Cuneus": 0.21],["Left Precuneous Cortex": 0.56]["Left Lateral Occipital Cortex; superior division": 0.34]
212, 105, (31.2;44.5;28.2),["None": 0.89]["aPFC": 0.11],["Frontal_Mid_R": 0.96],["Right Middle Frontal Gyrus": 0.95],["Right Superior Frontal Gyrus": 0.64]["Right Middle Frontal Gyrus": 0.36],["Right Frontal Pole": 1.00]
213, 103, (0.8;-38.6;-28.7),["None": 1.00],["None": 0.66]["Vermis_1_2": 0.15],["None": 0.50]["Cerebellar Vermis": 0.27]["Cerebellar Vermis": 0.12],["None": 0.79]["Right Culmen": 0.13],["None": 1.00]
214, 121, (-46.9;20.4;25.5),["None": 0.96],["Frontal_Inf_Tri_L": 0.84]["Frontal_Inf_Oper_L": 0.16],["Left Inferior Frontal Gyrus (p. Triangularis)": 0.98],["Left Middle Frontal Gyrus": 0.69]["Left Inferior Frontal Gyrus": 0.31],["Left Inferior Frontal Gyrus; pars opercularis": 0.47]["Left Middle Frontal Gyrus": 0.38]["Left Inferior Frontal Gyrus; pars triangularis": 0.15]
215, 132, (-35.3;4.1;56.5),["None": 1.00],["Frontal_Mid_L": 0.56]["Precentral_L": 0.44],["Left Middle Frontal Gyrus": 0.60]["Left Precentral Gyrus": 0.40],["Left Middle Frontal Gyrus": 0.91],["Left Middle Frontal Gyrus": 0.91]
216, 115, (27.5;-45.9;64.5),["None": 0.91],["Postcentral_R": 0.62]["Parietal_Sup_R": 0.38],["Right Superior Parietal Lobule ": 0.50]["Right Postcentral Gyrus": 0.49],["Right Postcentral Gyrus": 0.54]["Right Superior Parietal Lobule": 0.31],["Right Superior Parietal Lobule": 0.88]["Right Postcentral Gyrus": 0.12]
217, 118, (-56.5;-60.4;16.1),["None": 0.85]["TPJ": 0.12],["Temporal_Mid_L": 0.90],["Left Middle Temporal Gyrus": 0.84]["None": 0.11],["Left Middle Temporal Gyrus": 0.64]["Left Superior Temporal Gyrus": 0.36],["Left Angular Gyrus": 0.42]["Left Lateral Occipital Cortex; inferior division": 0.23]["Left Lateral Occipital Cortex; superior division": 0.21]["Left Middle Temporal Gyrus; temporooccipital part": 0.14]
218, 128, (52.6;-60.8;5.4),["None": 0.89]["temporal": 0.11],["Temporal_Mid_R": 1.00],["Right Middle Temporal Gyrus": 0.62]["Right Inferior Temporal Gyrus": 0.38],["Right Middle Temporal Gyrus": 0.79]["Right Inferior Temporal Gyrus": 0.19],["Right Lateral Occipital Cortex; inferior division": 0.55]["Right Middle Temporal Gyrus; temporooccipital part": 0.45]
219, 114, (-30.8;-86.0;18.4),["None": 0.93],["Occipital_Mid_L": 1.00],["Left Middle Occipital Gyrus": 1.00],["Left Middle Occipital Gyrus": 0.73]["Left Superior Occipital Gyrus": 0.11],["Left Lateral Occipital Cortex; superior division": 0.89]["Left Occipital Pole": 0.11]
220, 120, (37.2;-29.9;58.4),["None": 0.91],["Postcentral_R": 0.78]["Precentral_R": 0.22],["Right Postcentral Gyrus": 0.88],["Right Postcentral Gyrus": 0.70]["Right Precentral Gyrus": 0.29],["Right Postcentral Gyrus": 0.92]
221, 97, (-36.8;25.3;-12.6),["None": 1.00],["Frontal_Inf_Orb_L": 0.80]["Temporal_Pole_Sup_L": 0.18],["Left Inferior Frontal Gyrus (p. Orbitalis)": 0.79]["Left Temporal Pole": 0.18],["Left Inferior Frontal Gyrus": 0.74]["Left Superior Temporal Gyrus": 0.12],["Left Frontal Orbital Cortex": 0.95]
222, 103, (43.0;6.8;43.3),["None": 1.00],["Frontal_Mid_R": 0.50]["Precentral_R": 0.46],["Right Middle Frontal Gyrus": 0.42]["RightPrecentral Gyrus": 0.39]["Right Inferior Frontal Gyrus (p. Opercularis)": 0.19],["Right Middle Frontal Gyrus": 0.78]["Right Precentral Gyrus": 0.22],["Right Middle Frontal Gyrus": 0.76]["Right Precentral Gyrus": 0.24]
223, 118, (7.4;2.5;44.8),["None": 0.87],["Cingulum_Mid_R": 0.63]["Supp_Motor_Area_R": 0.37],["Right Middle Cingulate Cortex": 0.63]["Right SMA": 0.37],["Right Cingulate Gyrus": 0.54]["Right Medial Frontal Gyrus": 0.37],["Right Cingulate Gyrus; anterior division": 0.53]["Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)": 0.31]["Right Paracingulate Gyrus": 0.17]
224, 127, (42.0;-0.8;-9.1),["None": 0.91],["Insula_R": 0.61]["Temporal_Sup_R": 0.17],["Right Insula Lobe": 0.46]["Right Temporal Pole": 0.16]["Right Superior Temporal Gyrus": 0.13],["Right Superior Temporal Gyrus": 0.45]["Right Insula": 0.27]["None": 0.21],["Right Insular Cortex": 0.63]["Right Planum Polare": 0.37]
